epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,728.376,0.31117,0.25185,0.78351,0.96208,0.9881,0.96736,0.92279,0.3216,0.28813,0.80162,0.00051985,0.00051985,0.00051985
99,735.255,0.32091,0.25474,0.80577,0.9619,0.97212,0.97932,0.94057,0.31664,0.27556,0.80118,0.0005149,0.0005149,0.0005149
100,742.225,0.32597,0.26918,0.79393,0.9542,0.98033,0.97861,0.94014,0.31393,0.27995,0.80006,0.00050995,0.00050995,0.00050995
101,749.242,0.30349,0.26107,0.7877,0.9482,0.98112,0.97116,0.92981,0.33342,0.28871,0.80676,0.000505,0.000505,0.000505
102,756.177,0.33143,0.26546,0.7912,0.94939,0.99692,0.98041,0.94302,0.30367,0.26858,0.80016,0.00050005,0.00050005,0.00050005
103,763.176,0.33031,0.26961,0.79353,0.95525,0.98982,0.97627,0.94132,0.29176,0.26923,0.79812,0.0004951,0.0004951,0.0004951
104,770.111,0.32212,0.25021,0.79283,0.95462,0.99017,0.97795,0.92281,0.32445,0.28749,0.80381,0.00049015,0.00049015,0.00049015
105,777.086,0.3284,0.25601,0.80097,0.94812,0.99269,0.97795,0.94052,0.3107,0.26764,0.80196,0.0004852,0.0004852,0.0004852
106,784.023,0.32406,0.25383,0.79138,0.94895,0.9901,0.9784,0.93187,0.33567,0.29532,0.80506,0.00048025,0.00048025,0.00048025
107,791.014,0.32423,0.25178,0.79724,0.94736,0.99162,0.97898,0.94913,0.30607,0.27794,0.80102,0.0004753,0.0004753,0.0004753
108,797.966,0.31344,0.24629,0.79196,0.94807,0.99124,0.97272,0.93827,0.28625,0.27154,0.79768,0.00047035,0.00047035,0.00047035
109,804.909,0.32249,0.25195,0.80369,0.95933,0.9881,0.97136,0.94214,0.30842,0.27231,0.80257,0.0004654,0.0004654,0.0004654
110,811.977,0.3081,0.23977,0.79654,0.95931,0.9881,0.96533,0.93064,0.32022,0.28621,0.80321,0.00046045,0.00046045,0.00046045
